Correct_Position,Call_Number,norm_call_number,Title,"Position Scanned",Problem,Barcode
1,"ML3526 .E34 2010  ","ML 3526            E 342010","Hot stuff : disco and the remaking of Am...",20,"**OUT OF ORDER**Item Currently Between:PR4037 .J35 1989  & PR4331 .G75 1986  Move item back 19 spacesLL3**","=""35101012846817"""
2,"PQ2382.P9 C4  ","PQ 2382            P 9   C 4","Charlotte Corday : a tragedy /...",1,LL4**,"=""35101002359748"""
3,"PQ2662.E4537 C6313 2011  ","PQ 2662            E 4537   C 63132011","Coda : a novel /...",2,LL4**,"=""35101012902974"""
4,"PQ2662.O252 E7 1998  ","PQ 2662            O 252   E 71998","L'équilibriste /...",3,LL4**,"=""35101010249055"""
5,"PQ3989.2.B45 V5 1971  ","PQ 39892           B 45   V 51971","Ville cruelle /...",4,LL4**,"=""35101008958121"""
6,"PQ3989.2.K386 C68 2003  ","PQ 39892           K 386   C 682003","Cousine K /...",5,LL4**,"=""35101012665720"""
7,"PQ4542 .T7  ","PQ 4542            T 7","The poet as philosopher ; Petrarch and t...",8,"**OUT OF ORDER**Item Currently Between:PQ7085 .A518 1992  & PQ7079.2.R5 Y2 1995  Move item back 2 spacesLL4**","=""35101002716392"""
8,"PQ4829.O62 N613 1999  ","PQ 4829            O 62   N 6131999","Boredom /...",6,"**OUT OF ORDER**Item Currently Between:PQ3989.2.K386 C68 2003  & PQ7085 .A518 1992  Move item forward 2 spacesLL4**","=""35101010674336"""
9,"PQ6601.T4 I55 1992  ","PQ 6601            T 4   I 551992","La intrusa /...",10,"**OUT OF ORDER**Item Currently Between:PQ7079.2.R5 Y2 1995  & PQ7400.5 .S85 2004  Move item back 3 spacesLL4**","=""35101008862265"""
10,"PQ7079.2.R5 Y2 1995  ","PQ 70792           R 5   Y 21995","--y no se lo tragó la tierra /...",9,"**OUT OF ORDER**Item Currently Between:PQ4542 .T7  & PQ6601.T4 I55 1992  Move item forward 1 spacesLL4**","=""35101012867839"""
11,"PQ7085 .A518 1992  ","PQ 7085            A 5181992","Antología crítica del cuento hispano...",7,"**OUT OF ORDER**Item Currently Between:PQ4829.O62 N613 1999  & PQ4542 .T7  Move item forward 2 spacesLL4**","=""35101008593019"""
12,"PQ7400.5 .S85 2004  ","PQ 74005           S 852004","The development of literary blackness in...",11,LL4**,"=""35101011788317"""
13,"PQ7539.2.C34 S8413 2015  ","PQ 75392           C 34   S 84132015","The dream of my return /...",12,LL4**,"=""35101013282046"""
14,"PQ7797.O295 Z78  ","PQ 7797            O 295   Z 78","Victoria Ocampo : against the wind and t...",13,LL4**,"=""35101002546674"""
15,"PQ9469.2.R5 L413 2000  ","PQ 94692           R 5   L 4132000","Butterfly's tongue /...",14,LL4**,"=""35101011082067"""
16,"PR651 .W49 2000  ","PR  651            W 492000","Shakespeare and the drama of his time /...",15,LL4**,"=""35101011083339"""
17,"PR658.M3 S9 1983  ","PR  658            M 3   S 91983","Masques in Jacobean tragedy /...",16,LL4**,"=""35101003104986"""
18,"PR3562 .B53  ","PR 3562            B 53","Milton's creation: a guide through Parad...",18,LL4**,"=""35101000956289"""
19,"PR4037 .J35 1989  ","PR 4037            J 351989","Jane Austen's beginnings : the juvenilia...",19,LL4**,"=""35101003785057"""
20,"PR4331 .G75 1986  ","PR 4331            G 751986","Robert Burns : an illustrated biography ...",21,LL4**,"=""35101003547465"""
21,"PR4656 .A1 1800  ","PR 4656            A 11800","Adam Bede /...",22,LL4**,"=""35101002878903"""
22,"PR5202 .M8 2001  ","PR 5202            M 82001","The mysteries of Udolpho : a romance /...",23,LL4**,"=""35101013137844"""
23,"PR6007.U47 G5 2004  ","PR 6007            U 47   G 52004","The glass-blowers /...",24,"LL4****BLANK I POLICY**","=""35101013540328"""
24,"PR6029.R8 Z85 1961  ","PR 6029            R 8   Z 851961","The paradox of George Orwell...",26,"**OUT OF ORDER**Item Currently Between:PR6054.E37 S69 1990  & PR6058.A26 C87 2004  Move item back 1 spacesLL4**","=""35101001183107"""
25,"PR6045.O72 M7 1990b  ","PR 6045            O 72   M 71990   B","Mrs. Dalloway /...",28,"**OUT OF ORDER**Item Currently Between:PR6058.A26 C87 2004  & PR6058.O689 L66 2005  Move item back 1 spacesLL4**","=""35101013368779"""
26,"PR6054.E37 S69 1990  ","PR 6054            E 37   S 691990","Spy sinker /...",25,"**OUT OF ORDER**Item Currently Between:PR6007.U47 G5 2004  & PR6029.R8 Z85 1961  Move item forward 3 spacesLL4**","=""35101006377258"""
27,"PR6058.A26 C87 2004  ","PR 6058            A 26   C 872004","The curious incident of the dog in the n...",27,"**OUT OF ORDER**Item Currently Between:PR6029.R8 Z85 1961  & PR6045.O72 M7 1990b  Move item back 1 spaces**NOT IN PLACE: LOAN**LL4**","=""35101013257295"""
28,"PR6058.O689 L66 2005  ","PR 6058            O 689   L 662005","A long way down /...",29,LL4**,"=""35101012224825"""
29,"PR6103.L375 P57 2020  ","PR 6103            L 375   P 572020","Piranesi /...",30,"LL4****WRONG ITEM POLICY: 999**","=""35101206068152"""
30,"PR3560 1935  ","PR35601935            ","Paradise lost /...",17,"**OUT OF ORDER**Item Currently Between:PR658.M3 S9 1983  & PR3562 .B53  Move item forward 13 spacesLL4**","=""35101002322910"""
